JACK,Jack In The Box drifts higher after earnings,"Wed, May 15, 4:14 PM"
OHRP,Ohr Pharmaceutical reports Q2 results,"Wed, May 15, 4:14 PM"
EYES,"Second Sight misses by $0.01, misses on revenue","Wed, May 15, 4:12 PM"
PLYM,Plymouth Industrial plans 3M-share offering,"Wed, May 15, 4:12 PM"
AGIO,Agios' ivosidenib successful in late-stage cholangiocarcinoma study,"Wed, May 15, 4:12 PM"
USO,Crude oil climbs as investors overlook jump in U.S. crude stockpiles,"Wed, May 15, 4:12 PM"
JACK,"Jack In The Box beats by $0.06, misses on revenue","Wed, May 15, 4:12 PM"
PRKR,ParkerVision reports Q1 results,"Wed, May 15, 4:11 PM"
AIPT,Precision Therapeutics reports Q1 results,"Wed, May 15, 4:10 PM"
KGJI,Kingold Jewelry reports Q1 results,"Wed, May 15, 4:09 PM"
GVP,"GSE Systems beats by $0.07, misses on revenue","Wed, May 15, 4:09 PM"
FTCH,Farfetch reports Q1 results,"Wed, May 15, 4:09 PM"
ACHV,Achieve Life Sciences misses by $0.25,"Wed, May 15, 4:08 PM"
MFON,Mobivity Holdings  reports Q1 results,"Wed, May 15, 4:08 PM"
SNES,"SenesTech EPS in-line, misses on revenue","Wed, May 15, 4:08 PM"
SITO,"SITO Mobile misses by $0.08, misses on revenue","Wed, May 15, 4:07 PM"
SSW,Seaspan updates on financing move,"Wed, May 15, 4:07 PM"
TTNP,"Titan Pharmaceuticals misses by $0.08, misses on revenue","Wed, May 15, 4:06 PM"
VRTU,"Virtusa misses by $0.16, misses on revenue","Wed, May 15, 4:06 PM"
CSCO,"Cisco beats by $0.01, beats on revenue","Wed, May 15, 4:06 PM"
ICE,`Speed bump' coming to U.S. futures markets - WSJ,"Wed, May 15, 4:05 PM"
BHTG,"BioHiTech Global misses by $0.07, misses on revenue","Wed, May 15, 4:05 PM"
INNV,"Innovus Pharmaceuticals misses by $0.27, misses on revenue","Wed, May 15, 4:04 PM"
NANX,Nanophase Technologies reports Q1 results,"Wed, May 15, 4:04 PM"
BURG,"Chanticleer misses by $0.17, misses on revenue","Wed, May 15, 4:04 PM"
ENSV,"Enservco beats by $0.03, beats on revenue","Wed, May 15, 4:03 PM"
NROM,Noble Roman's reports Q1 results,"Wed, May 15, 4:02 PM"
,Nasdaq up over 1%,"Wed, May 15, 4:00 PM"
UAMY,United States Antimony reports Q1 results,"Wed, May 15, 3:59 PM"
BPL,"Buckeye Partners cut to Sell at Argus, seeing no higher takeover bid coming","Wed, May 15, 3:58 PM"
UNIT,Uniti falls after Windstream mentions high lease costs,"Wed, May 15, 3:54 PM"
BDL,Flanigan's reports Q2 results,"Wed, May 15, 3:54 PM"
GSKY,GreenSky -10.4% on impending funding loss,"Wed, May 15, 3:50 PM"
CME,CME total open interest hits record,"Wed, May 15, 3:48 PM"
VLO,Valero Energy upgraded at J.P. Morgan on positive outlook for Texas refiners,"Wed, May 15, 3:48 PM"
BREW,Craft Brew Alliance pressed to pursue a sale,"Wed, May 15, 3:47 PM"
PFSCF,Prometic sets terms for rights offering; shares down 11%,"Wed, May 15, 3:33 PM"
SBUX,Starbucks increases Teavana distribution,"Wed, May 15, 3:29 PM"
,"Republic Bancorp, Inc declares $0.24 dividend","Wed, May 15, 3:25 PM"
RBCAA,Republic Bancorp declares $0.264 dividend,"Wed, May 15, 3:24 PM"
RHHBY,FDA OKs expanded label for AbbVie and Roche's Venclexta,"Wed, May 15, 3:21 PM"
ESOA,Energy Services of America&nbsp; reports Q2 results,"Wed, May 15, 3:16 PM"
JPM,JPMorgan's investing app brings in newbies - Bloomberg,"Wed, May 15, 3:15 PM"
IINX,Ionix Technology reports Q3 results,"Wed, May 15, 3:14 PM"
WLK,"Westlake to benefit as ethylene, chloralkali cycles bottom, Goldman says","Wed, May 15, 3:10 PM"
GAPFF,Credit Suisse Canada unit adds to Aimia stake,"Wed, May 15, 3:03 PM"
IVPAF,Ivanhoe Mines gains full financing for first two Congo mines,"Wed, May 15, 2:55 PM"
OSTK,Multi-year low for Overstock.com after CEO sells shares,"Wed, May 15, 2:52 PM"
INBP,"Integrated Biopharma, Inc. reports Q3 results","Wed, May 15, 2:49 PM"
F,Ford recalls 273K vehicles,"Wed, May 15, 2:45 PM"
BA,FAA’s credibility questioned by House panel in 737 MAX safety approval,"Wed, May 15, 2:44 PM"
GOOG,Google recalls Keys for security issue,"Wed, May 15, 2:42 PM"
TYCB,Calvin B. Taylor Bankshares reports Q1 results,"Wed, May 15, 2:40 PM"
DIS,Layoffs hit home at Disney and Fox properties - Variety,"Wed, May 15, 2:39 PM"
VREX,Varex rides through dueling tariffs unscathed,"Wed, May 15, 2:28 PM"
UBER,Uber Black gets Quiet Mode,"Wed, May 15, 2:26 PM"
PFTI,Puradyn Filter Technologies reports Q1 results,"Wed, May 15, 2:18 PM"
TCLRY,"Technicolor proposes five new directors, new chair","Wed, May 15, 2:16 PM"
,Nasdaq leads as stocks continue to rebound,"Wed, May 15, 2:16 PM"
SSTI,ShotSpotter +1.8% as Imperial turns bullish,"Wed, May 15, 2:14 PM"
ROAN,Roan Resources -17% after cutting 2019 production forecast,"Wed, May 15, 2:10 PM"
VMW,VMware acquires app-packing solutions provider,"Wed, May 15, 2:04 PM"
ICART,Instacart moves past Whole Foods loss,"Wed, May 15, 2:01 PM"
,On the hour,"Wed, May 15, 2:00 PM"
NVS,Novartis close to settlement on alleged kickback scheme to docs,"Wed, May 15, 1:59 PM"
,SilverCrest Metals and New Concept Energy among Energy/Materials gainers; Roan Resources and SAExploration among losers,"Wed, May 15, 1:59 PM"
BLIN,Bridgeline Digital reports Q2 results,"Wed, May 15, 1:54 PM"
WFC,Wells Fargo's next CEO will undergo OCC vetting,"Wed, May 15, 1:51 PM"
,Mondelēz declares $0.26 dividend,"Wed, May 15, 1:50 PM"
,GoPro faces new action camera rival,"Wed, May 15, 1:48 PM"
,Epic Games store executes quiet launch in China,"Wed, May 15, 1:38 PM"
ASR,Grupo Aeroportuario -2% after BAML cut,"Wed, May 15, 1:37 PM"
IDTA,IDenta reports Q1 results,"Wed, May 15, 1:37 PM"
PANW,Palo Alto -2.3% on weak Mizuho checks,"Wed, May 15, 1:34 PM"
BBT,Quarles sees bank competition continuing,"Wed, May 15, 1:33 PM"
NRIFF,Horizon on short end of appeal of Vimovo patents,"Wed, May 15, 1:32 PM"
SNE,Sony Financial issues upbeat full-year forecast,"Wed, May 15, 1:29 PM"
,United Fire declares $0.33 dividend,"Wed, May 15, 1:11 PM"
XEL,Xcel Energy declares $0.405 dividend,"Wed, May 15, 1:10 PM"
,X Financial leads financial gainers; Senmiao Technology and Rand Capital the only losers,"Wed, May 15, 1:08 PM"
CLPS,CPS +4.3% as it invests in financial big data,"Wed, May 15, 1:06 PM"
,Ballard Power Systems and Hydrogenics among industrial gainers; ClearSign Combustion and Lindsay among losers,"Wed, May 15, 1:01 PM"
,On the hour,"Wed, May 15, 1:00 PM"
GE,"GE power unit to be 'significantly' cash flow negative this year, CFO says","Wed, May 15, 12:58 PM"
JNJ,NeuClone to launch clinical development of Stelara biosimilar,"Wed, May 15, 12:49 PM"
CACI,CACI secures prime position on $982M U.S. Army R4 multiple-award contract,"Wed, May 15, 12:46 PM"
,Midday Gainers / Losers,"Wed, May 15, 12:45 PM"
TTD,The Trade Desk +5% after CEO's 'Mad Money' appearance,"Wed, May 15, 12:42 PM"
VIRT,Virtu -4.8% after boosting deal to buy stake from founder,"Wed, May 15, 12:41 PM"
IMAC,IMAC Holdings reports Q1 results,"Wed, May 15, 12:40 PM"
MEEC,Midwest Energy Emissions reports Q1 results,"Wed, May 15, 12:38 PM"
BHP,BHP still finds Jansen project 'attractive' even after over-investing,"Wed, May 15, 12:37 PM"
,Arc Resources declares CAD 0.05 dividend,"Wed, May 15, 12:36 PM"
MJ,New Jersey cannabis consumers face wait for legalization,"Wed, May 15, 12:35 PM"
SECYF,Secure Energy Services declares CAD 0.0225 dividend,"Wed, May 15, 12:32 PM"
LUV,Southwest orders up more buybacks,"Wed, May 15, 12:31 PM"
,Beyond Meat rallies after Tim Hortons partnership unveiled,"Wed, May 15, 12:26 PM"
RIG,Transocean announces proposed private offering of $500M of secured notes due 2023,"Wed, May 15, 12:25 PM"
SOLTF,Sosei nabs $3M milestone from Pfizer under drug discovery partnership,"Wed, May 15, 12:23 PM"
,Southwest Airlines declares $0.18 dividend,"Wed, May 15, 12:20 PM"
COF,April credit card charge-off/delinquency rates,"Wed, May 15, 12:19 PM"
NEE,NextEra Energy's treatment of tax benefits approved by Florida regulator,"Wed, May 15, 12:18 PM"
MTNB,ViiV Healthcare to evaluate Matinas Bio's LNC platform,"Wed, May 15, 12:10 PM"
HERTF,Heritage signs agreement to acquire 30% of Endocanna Health,"Wed, May 15, 12:09 PM"
CJREF,Corus Entertainment -17.4% as Shaw files to offer 80.6M shares,"Wed, May 15, 12:08 PM"
,Westport Fuel Systems and Lifeway Foods among consumer gainers; Coca-Cola Consolidated and Dean Foods in losers,"Wed, May 15, 12:02 PM"
UBS,UBS reins in costs by cutting 150 jobs,"Wed, May 15, 12:01 PM"
,On the hour,"Wed, May 15, 12:00 PM"
TDG,TransDigm ripped for 'gouging' taxpayers in Congressional hearing,"Wed, May 15, 11:56 AM"
,Jeffersonville Bancorp declares $0.15 dividend,"Wed, May 15, 11:55 AM"
DOX,Stifel pleased by Amdocs profit beat; shares +11.5%,"Wed, May 15, 11:54 AM"
JFBC,Jeffersonville Bancorp reports Q1 results,"Wed, May 15, 11:53 AM"
ADAP,Adaptimmune teams up with Alpine to develop next-gen cell therapies,"Wed, May 15, 11:50 AM"
BRO,"Brown & Brown acquires United Development Systems, Inc.","Wed, May 15, 11:50 AM"
,Fire TV active users top Roku,"Wed, May 15, 11:47 AM"
XOM,Mozambique OKs Rovuma LNG development plan,"Wed, May 15, 11:45 AM"
EGHT,Spending outlook for 8x8 worries analysts; shares -3.5%,"Wed, May 15, 11:45 AM"
XFOR,X4 Pharma teams up with blood cancer charity to advance mavorixafor,"Wed, May 15, 11:30 AM"
POLA,Polar Power +3% post Q1 revenue beat,"Wed, May 15, 11:30 AM"
INFN,Infinera +6% after director buys shares,"Wed, May 15, 11:29 AM"
LGI,Lazard Global Total Return&Income Fund declares $0.08879 dividend,"Wed, May 15, 11:29 AM"
NSRGY,EQT in pole position for Nestle's skin health unit,"Wed, May 15, 11:25 AM"
GE,"GE not 'telling the whole story' on power weakness, says J.P. Morgan's Tusa","Wed, May 15, 11:25 AM"
,Morguard North American Residential REIT declares CAD 0.08 dividend,"Wed, May 15, 11:18 AM"
F,Ford to build new Lincolns in China,"Wed, May 15, 11:14 AM"
,Scripps plans next-gen TV standard at Detroit station,"Wed, May 15, 11:11 AM"
APYRF,Allied Properties Real Estate Investment Trust declares $0.133 dividend,"Wed, May 15, 11:07 AM"
AWLCF,More on Awilco Q1 results,"Wed, May 15, 11:05 AM"
LVMHF,LVMH eyes wine estate purchase,"Wed, May 15, 11:03 AM"
,Vermilion Energy declares CAD 0.23 dividend,"Wed, May 15, 11:03 AM"
DCPH,Deciphera perks up after positive Ad Com vote on Daiichi's pexidartinib for TGCT,"Wed, May 15, 11:02 AM"
CRM,Salesforce -1.5% as analysts see Q1 softness,"Wed, May 15, 11:01 AM"
,Catalyst Pharmaceuticals and Genetic Technologies among healthcare gainers; ImmunoGen leads the losers,"Wed, May 15, 11:01 AM"
,On the hour,"Wed, May 15, 11:00 AM"
SRE,Sempra's Cameron LNG export facility begins production,"Wed, May 15, 10:58 AM"
MAXR,Maxar wins follow-on deal from DARPA,"Wed, May 15, 10:55 AM"
SRKZF,Sky Gold financing,"Wed, May 15, 10:55 AM"
IEC,IEC wins contract worth more than $50M,"Wed, May 15, 10:54 AM"
MKSI,MKS +1.2% on Positive start,"Wed, May 15, 10:51 AM"
KIRK,Kirkland's slumps to 10-year low,"Wed, May 15, 10:50 AM"
CLRB,Cellectar up 31% on more positive CLR 131 data,"Wed, May 15, 10:48 AM"
RMBS,Rambus +2% on new bull,"Wed, May 15, 10:45 AM"
,Stocks go positive on report of auto tariff delay,"Wed, May 15, 10:44 AM"
LAC,Lithium Americas CEO Hodgson retires; Evans will take charge,"Wed, May 15, 10:41 AM"
MDB,MongoDB +4.7% on new Street-high target,"Wed, May 15, 10:36 AM"
UQM,More on UQM Technologies Q1 results,"Wed, May 15, 10:35 AM"
HZNP,Horizon down 2% on reported negative ruling on Vimovo patent,"Wed, May 15, 10:35 AM"
NJMC,New Jersey Mining Company reports Q1 results,"Wed, May 15, 10:34 AM"
,Auto sector rides higher on tariff delay,"Wed, May 15, 10:34 AM"
,Oil inventories build sharply,"Wed, May 15, 10:32 AM"
CLGX,CoreLogic outlines Q2 charges; shares +1.6%,"Wed, May 15, 10:31 AM"
,Super League Gaming -3.7% post Q1 results,"Wed, May 15, 10:29 AM"
LOR,Lazard World Dividend&Income Fund declares $0.05799 dividend,"Wed, May 15, 10:29 AM"
,"2-year Treasury yield falls on disappointing China, U.S. data","Wed, May 15, 10:28 AM"
MYAGD,Maya Gold & Silver reports Q1 results,"Wed, May 15, 10:26 AM"
NAT,Nordic American Tankers +11% on Q1 earnings beat,"Wed, May 15, 10:21 AM"
SAFM,Sanderson Farms sees opportunity amid protein hole in China,"Wed, May 15, 10:19 AM"
KEYW,KeyW announces $57M Army order,"Wed, May 15, 10:18 AM"
CTL,CenturyLink launches cash offer for $525M in debt,"Wed, May 15, 10:17 AM"
BA,FAA leaders testify at 737 MAX hearing,"Wed, May 15, 10:15 AM"
ARGO,Glass Lewis backs two Voce nominees for Argo board,"Wed, May 15, 10:13 AM"
CVX,"Goldman likes Chevron's free cash flow generation, strong capital discipline","Wed, May 15, 10:12 AM"
OBCI,Ocean Bio-Chem reports Q1 results,"Wed, May 15, 10:11 AM"
PDSB,PDS Bio up 36% on article supporting rationale of Versamune,"Wed, May 15, 10:08 AM"
LWSCF,Sienna Senior Living declares CAD 0.0765 dividend,"Wed, May 15, 10:08 AM"
V,Visa goes ex-dividend tomorrow,"Wed, May 15, 10:05 AM"
MA,"Mastercard, Lyft launch debit card","Wed, May 15, 10:04 AM"
,Atlanta Fed May business inflation expectations tick up,"Wed, May 15, 10:03 AM"
LMT,Turkey won't postpone delivery of S-400s,"Wed, May 15, 10:02 AM"
AIV,Apartment Investment goes ex-dividend tomorrow,"Wed, May 15, 10:01 AM"
,Business inventories unchanged in March,"Wed, May 15, 10:01 AM"
,Builder confidence rises in May,"Wed, May 15, 10:00 AM"
,On the hour,"Wed, May 15, 10:00 AM"
ADX,Adams Diversified Equity Fund goes ex-dividend tomorrow,"Wed, May 15, 9:59 AM"
SPG,Simon Property goes ex-dividend tomorrow,"Wed, May 15, 9:58 AM"
VNTR,Venator commences suit against Tronox,"Wed, May 15, 9:56 AM"
,Chartwell Retirement Residences declares CAD 0.05 dividend,"Wed, May 15, 9:55 AM"
TAK,Takeda teams up with FHP to launch GI-focused biopharma venture,"Wed, May 15, 9:49 AM"
MATN,Mateon Therapeutics reports Q1 results,"Wed, May 15, 9:49 AM"
LE,Lampert adds to Lands' End stake,"Wed, May 15, 9:46 AM"
,"Sluggish economic data from U.S., China chills stocks","Wed, May 15, 9:45 AM"
KMPPF,Killam Properties declares CAD 0.055 dividend,"Wed, May 15, 9:45 AM"
IEF,The yield curve just inverted again,"Wed, May 15, 9:44 AM"
VKIN,Viking Energy Group reports Q1 results,"Wed, May 15, 9:42 AM"
TRRVF,TerraVest Industries reports Q2 results,"Wed, May 15, 9:41 AM"
COTY,Insider buying at Coty,"Wed, May 15, 9:39 AM"
NNN.PF,"National Retail Properties, Inc. DEP SHS PFD F declares $0.325 dividend","Wed, May 15, 9:39 AM"
MT,ArcelorMittal goes ex-dividend tomorrow,"Wed, May 15, 9:38 AM"
HPQ,HP declares $0.1602 dividend,"Wed, May 15, 9:37 AM"
VASO,Vasomedical reports Q1 results,"Wed, May 15, 9:36 AM"
EDI,Stone Harbor Emerging Markets Total Income Fund goes ex-dividend tomorrow,"Wed, May 15, 9:34 AM"
NNN.PE,"National Retail Properties, Inc. DEP SHS REP1/100 declares $0.3563 dividend","Wed, May 15, 9:34 AM"
,At the open (5/15/2019),"Wed, May 15, 9:31 AM"
BIIAF,Buhler Industries Inc. reports Q2 results,"Wed, May 15, 9:31 AM"
SWK,New CRAFTSMAN plant to open in Fort Worth,"Wed, May 15, 9:31 AM"
GLXZ,Galaxy Gaming reports Q1 results,"Wed, May 15, 9:31 AM"
CYTR,CytRx beats by $0.02,"Wed, May 15, 9:31 AM"
ITCC,InsPro Technologies reports Q1 results,"Wed, May 15, 9:30 AM"
PULM,Pulmatrix misses by $0.15,"Wed, May 15, 9:30 AM"
ISGN,iSign Solutions reports Q1 results,"Wed, May 15, 9:29 AM"
INMB,INmune Bio reports Q1 results,"Wed, May 15, 9:29 AM"
TEUM,Pareteum locks down $70M-plus in April sales deals,"Wed, May 15, 9:28 AM"
EDF,Stone Harbor Emerging Markets Income Fund goes ex-dividend tomorrow,"Wed, May 15, 9:28 AM"
TDOC,Teladoc slips 2% premarket on accreditation issue,"Wed, May 15, 9:27 AM"
SLB,Schlumberger to sell drillpipe assets in $400M deal,"Wed, May 15, 9:27 AM"
XONE,ExOne elects new chief executive,"Wed, May 15, 9:27 AM"
,ACB and A among premarket losers,"Wed, May 15, 9:27 AM"
AXP,AmEx gets into restaurant reservation tech,"Wed, May 15, 9:25 AM"
,"ADXS, CLRB among premarket gainers","Wed, May 15, 9:23 AM"
VTR,Ventas declares $0.7925 dividend,"Wed, May 15, 9:23 AM"
BGS,B&G Foods acquires Clabber Girl Corporation,"Wed, May 15, 9:22 AM"
,Progressive declares $0.10 dividend,"Wed, May 15, 9:22 AM"
ARCI,Appliance Recycling Centers of America reports Q1 results,"Wed, May 15, 9:21 AM"
BAC,Bank of America increases minimum wage to $17/hour,"Wed, May 15, 9:19 AM"
TAK,Takeda F18 top line up 19%; EPS down 53%,"Wed, May 15, 9:19 AM"
,Zillow gains on Offers-based upgrade at Guggenheim,"Wed, May 15, 9:18 AM"
,Unexpected decline in industrial production,"Wed, May 15, 9:15 AM"
TYEKF,"Thyssenkrupp -8% as split failure prompts DZ, AlphaValue downgrades","Wed, May 15, 9:15 AM"
RAIFF,Raiffeisen Bank International AG reports Q1 results,"Wed, May 15, 9:13 AM"
ABNRY,ABN Amro reports Q1 results,"Wed, May 15, 9:12 AM"
CRARF,Crédit Agricole S.A. reports Q1 results,"Wed, May 15, 9:10 AM"
IAC,IAC acquires Condé Nast bridal brand,"Wed, May 15, 9:07 AM"
RWEOY,RWE AG reports Q1 results,"Wed, May 15, 9:06 AM"
AXP,American Express April delinquency rate ticks down,"Wed, May 15, 9:05 AM"
POLA,Polar Power beats on revenue,"Wed, May 15, 9:04 AM"
AN,Eddie Lampert boosts stake in AutoNation,"Wed, May 15, 9:04 AM"
DGLY,"Digital Ally beats by $0.21, beats on revenue","Wed, May 15, 9:03 AM"
AWLCF,"Awilco Drilling EPS in-line, misses on revenue","Wed, May 15, 9:02 AM"
DTSRF,Ether Capital reports Q1 results,"Wed, May 15, 9:02 AM"
RWCRF,RIWI reports Q1 results,"Wed, May 15, 9:01 AM"
,On the hour,"Wed, May 15, 9:00 AM"
INLX,"Intellinetics misses by $0.01, misses on revenue","Wed, May 15, 8:59 AM"
SVAUF,Storagevault Canada reports Q1 results,"Wed, May 15, 8:59 AM"
VWORK,WeWork launches $2.9B real estate fund,"Wed, May 15, 8:59 AM"
SMGI,SMG Industries reports Q1 results,"Wed, May 15, 8:58 AM"
VRME,VerifyMe reports Q1 results,"Wed, May 15, 8:58 AM"
GO,Discount grocery chain files for IPO,"Wed, May 15, 8:57 AM"
TKOI,Telkonet reports Q1 results,"Wed, May 15, 8:57 AM"
CBLI,Cleveland BioLabs reports Q1 results,"Wed, May 15, 8:55 AM"
VRTX,Vertex teams up with Kymera to advance small molecule protein degraders,"Wed, May 15, 8:52 AM"
ADC,Agree Realty acquires Wawa store in Center City Philadelphia,"Wed, May 15, 8:52 AM"
LXRP,Lexaria’s DehydraTECH delivers better results than conventional industry formulations,"Wed, May 15, 8:49 AM"
WERN,Werner +4% in a special way,"Wed, May 15, 8:49 AM"
WMC,Western Asset Mortgage -4.4% after offering prices,"Wed, May 15, 8:45 AM"
,Consumer spending soggy in April,"Wed, May 15, 8:44 AM"
AT,Atlantic Power buys stakes in biomass plants from AltaGas,"Wed, May 15, 8:43 AM"
CMPGF,Compass Group reports 1H results,"Wed, May 15, 8:39 AM"
CTRA,Contura Energy reports Q1 results,"Wed, May 15, 8:37 AM"
BASI,Bioanalytical Systems reports Q2 results,"Wed, May 15, 8:36 AM"
WINMQ,Windstream reports Q1 results,"Wed, May 15, 8:36 AM"
AMAT,Applied Materials +3% on Susquehanna upgrade,"Wed, May 15, 8:36 AM"
JPM,JPMorgan Chase April card delinquency rate falls from March,"Wed, May 15, 8:35 AM"
CHHE,China Health Industries Holdings reports Q1 results,"Wed, May 15, 8:35 AM"
TAPM,Tapinator reports Q1 results,"Wed, May 15, 8:34 AM"
XTNT,"Xtant Medical beats by $0.15, misses on revenue","Wed, May 15, 8:33 AM"
BLUE,Downgrades rule in premarket analyst action,"Wed, May 15, 8:33 AM"
MEDIF,MediPharm Labs signs term sheet for $20M debt facility,"Wed, May 15, 8:32 AM"
,Empire State Survey beats expectations,"Wed, May 15, 8:32 AM"
,April core retail sales disappoint,"Wed, May 15, 8:31 AM"
,Oppenheimer positive on home improvement retailers,"Wed, May 15, 8:30 AM"
MYSZ,MySize reports Q1 results,"Wed, May 15, 8:27 AM"
GOOG,Deutsche lifts Alphabet estimates on ad pipeline,"Wed, May 15, 8:26 AM"
LAC,Lithium Americas misses on revenue,"Wed, May 15, 8:25 AM"
,Discover Financial April delinquency rate falls 7 bps M/M,"Wed, May 15, 8:25 AM"
MDIEF,Mediaset S.p.A. reports Q1 results,"Wed, May 15, 8:23 AM"
ADXS,FDA lifts partial hold on late-stage study of Advaxis' AXAL,"Wed, May 15, 8:22 AM"
,Cominar Real Estate Investment Trust declares CAD 0.06 dividend,"Wed, May 15, 8:21 AM"
,Arcos Dorados falls short amid F/X pressure,"Wed, May 15, 8:21 AM"
SIFY,Sify Technologies declares INR 1.20 dividend,"Wed, May 15, 8:20 AM"
ZG,Guggenheim turns bull on Zillow's Offers; ZG +3%,"Wed, May 15, 8:19 AM"
ADS,Alliance Data April delinquency rate falls,"Wed, May 15, 8:18 AM"
NUGS,Cannabis Strategic Ventures uplisted to OTCQB,"Wed, May 15, 8:16 AM"
OTLK,"Outlook Therapeutics beats by $0.08, misses on revenue","Wed, May 15, 8:14 AM"
CLSN,Celsion net loss improves in Q1,"Wed, May 15, 8:14 AM"
M,Macy's +4% after turning positive comp,"Wed, May 15, 8:13 AM"
SPVEF,Atlantic Gold bought by Australian miner for C$2.90/share,"Wed, May 15, 8:13 AM"
VCNX,Vaccinex reports Q1 results,"Wed, May 15, 8:12 AM"
TORC,resTORbio misses by $0.02,"Wed, May 15, 8:12 AM"
BABA,Online retailers mull Alibaba's strong quarter,"Wed, May 15, 8:12 AM"
PSTL,Postal Realty IPO prices below expected range,"Wed, May 15, 8:11 AM"
HRST,Harvest Oil &amp; Gas reports Q1 results,"Wed, May 15, 8:11 AM"
MACIF,Maverix Metals&nbsp; reports Q1 results,"Wed, May 15, 8:09 AM"
HEOFF,H2O Innovation reports Q3 results,"Wed, May 15, 8:08 AM"
QSR,Tim Hortons to test Beyond Meat sandwiches,"Wed, May 15, 8:05 AM"
CXDC,China XD Plastics reports Q1 results,"Wed, May 15, 8:04 AM"
RUBY,Rubius Therapeutics misses by $0.01,"Wed, May 15, 8:04 AM"
CLSN,"Celsion beats by $0.13,  revenue in-line","Wed, May 15, 8:03 AM"
ARCO,"Arcos Dorados Holdings misses by $0.05, misses on revenue","Wed, May 15, 8:02 AM"
ESTA,"Establishment Labs misses by $0.12, beats on revenue","Wed, May 15, 8:02 AM"
BDR,Blonder Tongue Laboratories reports Q1 results,"Wed, May 15, 8:02 AM"
M,"Macy's beats by $0.10, misses on revenue","Wed, May 15, 8:01 AM"
FSM,Fortuna Silver Mines slides as Lindero continues to weigh,"Wed, May 15, 8:01 AM"
SRBCF,Sirona Bio's TFC-1067 shows positive effect in skin lightening,"Wed, May 15, 8:01 AM"
COF,Capital One April delinquency rate improves,"Wed, May 15, 8:01 AM"
,On the hour,"Wed, May 15, 8:00 AM"
,Three breakfast reads,"Wed, May 15, 7:59 AM"
BTLCY,British Land Company reports FY results,"Wed, May 15, 7:58 AM"
WM,Waste Management prices $4B senior notes,"Wed, May 15, 7:57 AM"
RNKLF,Royal Nickel Corporation reports Q1 results,"Wed, May 15, 7:56 AM"
CBNRQ,Cubic Energy reports Q1 results,"Wed, May 15, 7:55 AM"
ERJ,"Deliveries, Boeing integration weigh on Embraer","Wed, May 15, 7:54 AM"
HTBX,Heat Biologics beats by $0.01,"Wed, May 15, 7:53 AM"
CRRTF,Crescita Therapeutics reports Q1 results,"Wed, May 15, 7:51 AM"
PPDF,PPDA Group drives up 5.7% after Q1 beat,"Wed, May 15, 7:51 AM"
MLND,Millendo Therapeutics reports Q1 results,"Wed, May 15, 7:50 AM"
JNJ,J&J to review key priorities in today's pharma business review,"Wed, May 15, 7:49 AM"
TSG,"Stars Group -5% on Q1 misses, Poker declines","Wed, May 15, 7:49 AM"
GSGTF,GenSight's GS010 shows long-term effect in inherited eye disorder,"Wed, May 15, 7:49 AM"
SYPR,"Sypris Solutions misses by $0.08, misses on revenue","Wed, May 15, 7:48 AM"
IMLFF,InMed Pharmaceuticals misses by $0.01,"Wed, May 15, 7:47 AM"
CCC,Clarivate Analytics reports Q1 results,"Wed, May 15, 7:47 AM"
GE,GE books more turbine orders,"Wed, May 15, 7:44 AM"
TWNK,Hostess Brands prices share offering,"Wed, May 15, 7:40 AM"
NUE,Nucor shareholders nix proposal to disclose lobbying details,"Wed, May 15, 7:37 AM"
PFE,Pfizer's abrocitinib successful in late-stage dermatitis study,"Wed, May 15, 7:35 AM"
FCSC,Fibrocell Science misses by $0.06,"Wed, May 15, 7:34 AM"
,Eldorado Resorts aims to cut costs at Caesars,"Wed, May 15, 7:34 AM"
TRU,TransUnion beefs up digital marketing tech with TruSignal buy,"Wed, May 15, 7:34 AM"
TSEM,Tower Semi +2.6% on revenue beat,"Wed, May 15, 7:30 AM"
SYF,Synchrony Financial April delinquency rate slips,"Wed, May 15, 7:26 AM"
MLSS,"Milestone Scientific beats by $0.01, misses on revenue","Wed, May 15, 7:24 AM"
ZPTAF,Surge Energy declares CAD 0.0083 dividend,"Wed, May 15, 7:23 AM"
MCD,McDonald's to streamline all-day breakfast operations,"Wed, May 15, 7:23 AM"
QUTIF,Questor Technology reports Q1 results,"Wed, May 15, 7:22 AM"
,RioCan Real Estate Investment Trust declares CAD 0.12 dividend,"Wed, May 15, 7:22 AM"
IMGN,ImmunoGen not quite there with mirvetuximab soravtansine NDA; shares down 5% premarket,"Wed, May 15, 7:20 AM"
CNDGF,Condor Gold reports Q1 results,"Wed, May 15, 7:20 AM"
OMF,Wedbush rings the register on OneMain Holdings,"Wed, May 15, 7:20 AM"
GHIFF,Gamehost declares CAD 0.0575 dividend,"Wed, May 15, 7:19 AM"
GSRX,GSRX Industries reports Q1 results,"Wed, May 15, 7:19 AM"
WSR,Whitestone REIT declares $0.095 dividend,"Wed, May 15, 7:18 AM"
BKBEF,Pipestone Energy reports Q1 results,"Wed, May 15, 7:18 AM"
,Children's Place Retail Stores declares $0.56 dividend,"Wed, May 15, 7:15 AM"
TCEHY,Tencent's Q1 print signals recovery,"Wed, May 15, 7:14 AM"
PLCE,Children's Place +5% after battling through Q1 headwinds,"Wed, May 15, 7:14 AM"
